"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Murray, Jayden",681151,"R","80.9","83.2","46.6","97.5",,,,"62.7",
"Romero, JoJo",668941,"L","80.9","77.3",,"88.9",,,,"49.7",
"Teng, Kai-Wei",678906,"R","80.9","76.5",,"83.4",,"74.3","20.7","45",
"Sanders, Cam",676742,"R","80.8",,,"74",,,"17",,
"McGreevy, Michael",700241,"R","80.6","69.8","33.7","66.1",,"82.8","35.9","56.4",
"Pallante, Andre",669467,"R","80.5","85.3",,,"88.4","81.9","31.4",,
"Soroka, Michael",647336,"R","80.5","78.3","37.5","85.9",,,,,"66.6"
"Scott, Tanner",656945,"L","80.5",,,,,,"30.3",,
"Kilian, Caleb",668873,"R","80.3","81.9",,,,"90.2","30.1",,
"Domínguez, Seranthony",622554,"R","80.3","82.4",,,"95.5","78.8",,"38.4",
"Bubic, Kris",663460,"L","80.3","78.5",,"69.4",,,"19.1","50.6",
"Smith, Shane",681343,"R","80.1","85.3",,"76.9",,"80.7","31",,
"Nunez, Anthony",689296,"R","80","84.4","31.8","64.5",,,,"48.3",
"Feltner, Ryan",663372,"R","79.9","69.8",,"68.8",,"63.2","38.3","38.6",
"Gil, Luis",661563,"R","79.8","73.7",,"87.2",,,"37.3",,
"Quintana, Jose",500779,"L","79.7","83.5",,"90.6",,"46.7",,,"41.6"
"Lawrence, Justin",664875,"R","79.7","76.7",,,,,,"60.6",
"Ferguson, Caleb",657571,"L","79.1","76.2","19.8",,,,,,"65.3"
"Bassitt, Chris",605135,"R","79","82","57.9","92.1",,"96.2","56.6","86.4",
"Pomeranz, Drew",519141,"L","78.9",,,,,"63.9",,,
"Faucher, Calvin",676534,"R","78.7","75.8","25.6",,,"77",,"52.7",
"Madden, Ty",680744,"R","78.6","78.6","21.4",,"77.6",,"26.8",,
"Suarez, Ranger",624133,"L","78.5","70.3","51.4","70.2",,"84.7","61.5",,
"Kinley, Tyler",641755,"R","78.5",,,,,"55.7","20.6",,
"McCullers Jr., Lance",621121,"R","78.3","80.2","45.9","90.1",,"75.8",,"55.7",
"Muñoz, Roddery",682610,"R","78.2","77.6","38.6",,,,"48",,
"Sewald, Paul",623149,"R","78",,,,,,,"34.7",
"Anderson, Grant",681982,"R","77.8","79.5",,"86.8",,,,"59.5",
"Dobbins, Hunter",690928,"R","76.9","83.7",,,"79.3","64.5","38.6","50.9",
"Suter, Brent",608718,"L","76.9","88",,"89.2",,,"51.1",,
"Morgan, David",688158,"R","76.9","86.1",,,,"75.4","33",,
"Webb, Logan",657277,"R","76.8","75.4","38.5","79.8",,,,"45.6",
"Fedde, Erick",607200,"R","76.5","67.4","46.3","63.3",,,,"57.2",
"Coulombe, Danny",543056,"L","76.5","75.7","33",,,"93.8",,"39.3",
"Warren, Will",701542,"R","76.4","75.8",,"84.1",,"72.6",,"53.9",
"Mejia, Juan",675848,"R","76.4","66.4",,"81.8",,,"35.2","56",
"Bummer, Aaron",607481,"L","76.4","78.7","44.1",,,"76.2",,"67",
"Glasnow, Tyler",607192,"R","76.3","73.9",,,,"82","25.3",,
"Weissert, Greg",669711,"R","76","80.9",,"95.2",,"78","38.1","62.5",
"Singer, Brady",663903,"R","75.7","79.3","42.2",,,,"34.2","37.6",
"Avila, Luinder",679883,"R","75.5","73.3",,"82.4",,"57.9","43.2",,
"Carrasco, Carlos",471911,"R","75.5","69","55.9","64.9",,,"27.9",,
"Bernardino, Brennan",657514,"L","75.3","73.1","33.2","88.4",,"58.5",,,
"Hurter, Brant",676428,"L","75.3","78.6",,"88",,,,"54.6",
"Garrett, Braxton",666129,"L","75.2","76.6",,"75.6",,,"14.5","35.3",
"Rolison, Ryan",669020,"L","75.1","71",,,,"82.7","33","48.8",
"Hoppe, Alex",695380,"R","75","75.4",,,,,"36.7",,
