"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Anderson, Tyler",542881,"L","98.4","97.1","47.5","97.3",,"51.4","23.8",,
"Long, Sam",669674,"L","98.4",,,"93.6",,"73.4","52.1",,
"Sampson, Adrian",592716,"R","98.4","98.6","16.6","99.2",,,"34.2",,
"Davies, Zach",605200,"R","98.4","98.7","78","97.9",,"66.9","29",,
"Kazmir, Scott",431148,"L","98.4",,,"96.1",,,"60.8",,
"Moore, Matt",519043,"L","98.3",,"74.4","98.4",,"64.9",,,
"Johnson, Pierce",572955,"R","98.3",,,,,"52.1",,,
"Heuer, Codi",676051,"R","98.3",,,"88.1",,,"33.9",,
"Irvin, Cole",608344,"L","98.3","96.9","31.9","98.8",,"54.4","18.7",,
"Cole, Gerrit",543037,"R","98.3","98.6",,"98.7",,"74.1","26",,
"Vesia, Alex",681911,"L","98.3",,,"99.6",,,"37.6",,
"Garcia, Bryan",650530,"R","98.2","96.3",,"97.3",,,"28.4",,
"Benjamin, Wes",605138,"L","98.1",,"28.6","97.1",,"75.7",,,
"Wilson, Justin",458677,"L","98.1",,"57.6",,,,"37.7",,
"De León, José",592254,"R","98",,,"97.8",,,,"60.7",
"Bergen, Travis",664157,"L","98",,,,,"33.1",,,
"Walker, Taijuan",592836,"R","98","96.7","30.9",,"79.5","72.8","36",,
"De Los Santos, Enyel",660853,"R","98",,,"99.5",,,"12.5",,
"Hill, Tim",657612,"L","98","95.6",,,,,"45",,
"Stephenson, Robert",596112,"R","98",,,,,"58.7","45",,
"Lauer, Eric",641778,"L","97.9",,"69.2","97.1",,"46.9","44.7",,
"Cobb, Alex",502171,"R","97.9","96.8",,,"79.8","58.9",,,
"Ynoa, Huascar",660623,"R","97.9",,,"99",,,"34.4",,
"Ríos, Yacksel",605441,"R","97.8","96.4",,,"87.3",,"28.5",,
"Foster, Matt",641582,"R","97.8",,"75.3","96.4",,,"36.8",,
"Stashak, Cody",664054,"R","97.8",,,,,,"28.6",,
"Detmers, Reid",672282,"L","97.8",,,"97",,"92.7","31.1",,
"Whitlock, Garrett",676477,"R","97.8","97.9","21.5","91.5",,,"30.7","26.2",
"Harvey, Matt",518774,"R","97.8","97.9",,"97.8",,"62.6","31.7",,
"Ryu, Hyun Jin",547943,"L","97.8","98","54.8","99.3",,"83.6","25.4",,
"Buchter, Ryan",488748,"L","97.8",,"50.6",,,"57",,,
"Gausman, Kevin",592332,"R","97.6",,,"93.6","73.3",,"20.5",,
"Díaz, Edwin",621242,"R","97.6",,,,,,"28.1",,
"Rodón, Carlos",607074,"L","97.6",,,"98.9",,"63.5","28.3",,
"McGee, Jake",459429,"L","97.6",,,,,,"22.4",,
"Yarbrough, Ryan",642232,"L","97.6","96.8","40.6","93",,,,"73.7",
"Wells, Alex",649144,"L","97.6",,,"98.5",,"76.1","31.6",,
"Goudeau, Ashton",623485,"R","97.5",,,"99",,"84.7",,,
"Hudson, Daniel",543339,"R","97.5",,,"96.9",,,"22.7",,
"Kennedy, Ian",453178,"R","97.5",,"34.2","97.6",,"64.4","38.3",,
"Mears, Nick",683232,"R","97.5",,,,,"73.6",,,
"Jax, Griffin",643377,"R","97.5",,,"98.8",,"74.9",,"41.5",
"Littell, Zack",641793,"R","97.4",,,,"86.4",,"43.2",,
"Vest, Will",676684,"R","97.4",,,"99.3",,,"32.8",,
"Howard, Sam",607572,"L","97.4",,,"96.7",,,"25.4",,
"Rodríguez, Richard",593144,"R","97.4",,,,,,"47.3",,
"Pivetta, Nick",601713,"R","97.4",,"36.5","98.5",,"94","34.3",,
"Bieber, Shane",669456,"R","97.3",,"38.9","98.5",,"83.8","17.3",,
"Pérez, Martín",527048,"L","97.3","97.1","61.2","99.4",,"40.7",,,
"Sulser, Cole",642121,"R","97.3",,,"82.4",,"71.8","39.4",,
"Díaz, Miguel",622766,"R","97.3",,,"93.4",,,"40.5",,
"Brogdon, Connor",641401,"R","97.2",,"62","99.4",,,,,
"McKenzie, Triston",663474,"R","97.2",,,"96.7",,"67.9","42.3",,
"Evans, Demarcus",663770,"R","97.2",,"52.9",,,"27.1",,,
"Sborz, Josh",622250,"R","97.2",,,,,"79","11",,
"Means, John",607644,"L","97.2",,,"98.1",,"56.1","53",,
"Bednar, David",670280,"R","97.1",,,,"49.3","77",,,
"Colomé, Alex",517008,"R","97.1",,"50.9",,,,,,
"Strahm, Matt",621381,"L","97.1","99.1","36","95.2",,"35.1",,,
"Milner, Hoby",571948,"L","97.1","98.2",,"99",,,,"65.1",
"Steckenrider, Drew",608716,"R","97.1",,,"97.9",,"49.5",,,
"Webb, Jacob",657097,"R","97",,,"96.9",,"73.2",,,
"Meisinger, Ryan",664682,"R","96.9","94.2",,"96.9",,,"19.9",,
"Wisler, Matt",605538,"R","96.9",,,,,,"25.8",,
"Akin, Keegan",669211,"L","96.9",,,"95.3",,"49","29",,
"Overton, Connor",656818,"R","96.9","95.8",,"97.6",,"92.7","11.8",,
