player_name,game_year,pitch_type,release_speed,pfx_x,pfx_z,n,total_n,usage_pct,min_dist_to_target,closest_target_pitch,cluster,_sil,cluster_label,biomech_distance,sim_weight
"Smeltzer, Devin",2022,CU,75.21492537313434,-0.9629353233830846,-0.8735323383084578,201,1128,0.17819148936170212,2.241320161452936,ST,1,0.6148283142981079,CU,1.0942020024356836,0.9139071980007469
"Stout, Eric",2022,CU,77.824,-1.1516,-1.0184,25,450,0.05555555555555555,2.3182964431605892,ST,1,0.5535184309269754,CU,1.237061092243983,0.8083668607014208
"Pilkington, Konnor",2022,CU,77.02533333333332,-0.5285333333333333,-0.9066666666666666,75,1039,0.07218479307025986,2.2470626332166703,ST,1,0.4689221458771679,CU,0.9820585352677749,1.0182682048164557
"Bubic, Kris",2022,CU,79.40448065173116,-0.6335437881873727,-1.0696334012219961,491,2262,0.21706454465075153,2.3995058506303852,ST,1,0.398271268494654,CU,1.0939922416556909,0.9140824293270424
"Allard, Kolby",2025,CU,72.16220472440945,-0.6395275590551182,-1.0901574803149605,127,995,0.12763819095477386,2.848420881642571,ST,1,0.5368633108377587,CU,1.1104453356649855,0.9005387904685686
"Holton, Tyler",2025,CU,80.42926829268292,-0.8265853658536586,-1.246829268292683,41,1159,0.03537532355478861,2.6460700643571924,ST,1,0.3965678364112038,CU,1.0701440060161167,0.9344528025437889
"Garrett, Braxton",2022,CU,78.74295302013424,-0.9467785234899329,-0.7257718120805369,149,1436,0.10376044568245125,1.8250405868350725,ST,1,0.37354251700579116,CU,0.7530268632643533,1.327972109378569
"Wentz, Joey",2022,CU,75.36923076923077,-0.72,-0.8728846153846154,52,555,0.0936936936936937,2.254721928517297,ST,1,0.5809598185080694,CU,1.4503507184201863,0.6894879271693232
"McCarty, Kirk",2022,CU,77.10862068965517,-0.7587931034482758,-0.6939655172413793,58,573,0.1012216404886562,1.8691146054028773,ST,1,0.4257721179210799,CU,1.254727163793336,0.7969853780732608
"Akin, Keegan",2021,CU,76.02372881355932,-0.5249152542372881,-0.3855932203389831,59,1768,0.0333710407239819,1.585659833613332,ST,0,-0.11085515763030386,CU,1.4638864781516876,0.6831126127689852
"O'Loughlin, Jack",2024,CU,76.02142857142857,-0.8967857142857143,-1.0435714285714286,28,176,0.1590909090909091,2.4433039694457355,ST,1,0.6248876814345997,CU,0.6187746881558903,1.6160945220395706
"Henry, Tommy",2022,CU,80.56725663716814,-0.5668141592920354,-0.6909734513274336,113,773,0.1461836998706339,1.8234784951343153,ST,0,-0.05038029474393851,CU,0.9281860857227577,1.077369008233209
"Sammons, Bryan",2024,CU,75.85517241379311,-0.6058620689655172,-0.7644827586206897,29,374,0.07754010695187166,2.0881802385592034,ST,1,0.4763126347978348,CU,0.8497218918192895,1.1768542540485891
"Imanaga, Shota",2025,CU,72.06774193548387,-0.8616129032258065,-1.0429032258064515,31,2172,0.01427255985267035,2.7661435461701127,ST,1,0.5649132973126592,CU,0.9521165249106791,1.0502905091404686
"Walston, Blake",2024,CU,77.26739130434783,-0.5828260869565217,-0.9478260869565218,46,343,0.13411078717201166,2.2829368012751257,ST,1,0.4959959914032193,CU,0.5945501254756782,1.681941143749307
"Aldegheri, Sam",2025,CU,75.28857142857143,-1.0551428571428572,-0.7871428571428571,35,303,0.11551155115511551,2.1093430012790853,ST,1,0.5833073951331409,CU,1.403877031614277,0.7123125923198116
"Povich, Cade",2024,CU,76.29338235294118,-0.911470588235294,-1.1813970588235294,272,1389,0.19582433405327573,2.637810819158159,ST,1,0.6059921071763287,CU,0.9569185074155038,1.0450199752964073
"Messick, Parker",2025,CU,77.13417721518988,-1.2077215189873418,-0.4920253164556962,79,625,0.1264,1.5524007121780283,ST,1,0.3477821922715748,CU,1.3342115860337207,0.7495057462864664
"Gibson, Cade",2025,CU,78.82807692307692,-1.0620384615384615,-1.3511153846153847,260,908,0.28634361233480177,2.8156371800921756,ST,1,0.4928973870997186,CU,1.008582769395677,0.9914892846225156
"Moore, Matt",2021,KC,80.71875,-0.4918229166666667,-0.6591666666666667,192,1254,0.15311004784688995,1.8029480884770863,ST,0,0.04780530792926131,CU,1.4580698270535908,0.6858377394606808
"Paxton, James",2024,KC,80.81818181818181,-0.08914893617021277,-0.3971760154738878,517,1708,0.30269320843091335,1.666433049091993,ST,0,0.36340478792763176,CU,1.4974389490547206,0.6678064122913668
"Freeland, Kyle",2025,KC,82.57453703703705,-0.17055555555555554,-0.5450154320987655,648,2482,0.2610797743755036,1.8495685554441084,ST,0,0.2729327880942599,CU,0.8662931934641998,1.1543422633379634
"Means, John",2024,KC,75.73714285714286,-1.0751428571428572,-0.5594285714285714,35,320,0.109375,1.7474583602429288,ST,1,0.44012836674651745,CU,1.0909234495178974,0.9166537613506794
"Gilbert, Tyler",2023,KC,80.41142857142857,-0.4605714285714286,-0.9445714285714286,35,263,0.13307984790874525,2.2465833163763707,ST,1,0.1791992306994137,CU,0.8766925067578232,1.1406494884377407
"Lynch IV, Daniel",2024,KC,80.36842105263158,-0.12394736842105263,-0.30473684210526314,38,631,0.060221870047543584,1.5256780174976634,ST,0,0.37429401464867723,CU,1.318553936453033,0.7584060188573115
"Ogasawara, Shinnosuke",2025,KC,72.46693548387097,-0.5866935483870968,-1.6570967741935483,124,669,0.18535127055306427,3.627912953688575,ST,1,0.4602606345603409,CU,1.216999564536214,0.8216923057723391
"Irvin, Cole",2024,SL,78.05138888888888,-0.3326388888888889,-0.4858333333333333,72,1767,0.04074702886247878,1.672617962713322,ST,0,0.12718290035924135,CU,1.057820541589067,0.9453390394166044
"Hill, Rich",2023,ST,71.01780821917808,-1.7784931506849317,-0.09821917808219179,73,2373,0.03076274757690687,2.067418561211347,ST,1,0.2457178024803334,CU,1.126104127312255,0.8880165587974563
